	ligand	group	mean	var	std	std %
APO_2PG_2PG_cl000	2PG	2PG	1.22132895936	0.0331291911895	0.182014260951	14.9029677513
APO_2PG_backbone_cl000	2PG	backbone	1.15600894576	0.0220608459113	0.148528939642	12.8484247624
APO_2PG_2PG_cl000_2	2PG	2PG	0.922152324302	0.0079184937188	0.0889859186546	9.64980690386
APO_2PG_backbone_cl000_2	2PG	backbone	1.14303978326	0.0120740777854	0.109882108577	9.61314821986
APO_2PG_2PG_cl000_3	2PG	2PG	0.577875247136	0.063634922402	0.252259632922	43.6529569613
APO_2PG_backbone_cl000_3	2PG	backbone	1.25201331061	0.0171568033199	0.130983981158	10.4618681006
APO_2PG_2PG_cl000_4	2PG	2PG	0.536448097389	0.114714543192	0.338695354547	63.1366494159
APO_2PG_backbone_cl000_4	2PG	backbone	1.23946207378	0.016533944886	0.128584388189	10.3742091758
APO_2PG_2PG_cl100	2PG	2PG	1.29392987592	0.00423195116287	0.0650534485086	5.02758686689
APO_2PG_backbone_cl100	2PG	backbone	1.05242359292	0.019199404121	0.138561914396	13.1659832911
APO_2PG_2PG_cl100_2	2PG	2PG	1.07238036088	0.010269794239	0.101339993285	9.45000458622
APO_2PG_backbone_cl100_2	2PG	backbone	1.09157218529	0.015027514721	0.122586764053	11.2302938555
APO_2PG_2PG_cl100_3	2PG	2PG	1.08201410648	0.132859172425	0.364498521843	33.6870397215
APO_2PG_backbone_cl100_3	2PG	backbone	1.16643023623	0.0246090344239	0.156872669461	13.4489543043
APO_2PG_2PG_cl100_4	2PG	2PG	1.04172929633	0.0213184272413	0.146008312234	14.0159552725
APO_2PG_backbone_cl100_4	2PG	backbone	1.05431031722	0.0103604503317	0.101786297367	9.65430155664
APO_2PG_2PG_cl200	2PG	2PG	0.61541065446	0.101591251335	0.318733825214	51.7920550942
APO_2PG_backbone_cl200	2PG	backbone	1.1164284691	0.0220886411013	0.148622478452	13.312315349
APO_2PG_2PG_cl200_2	2PG	2PG	1.10616464727	0.0212548726015	0.145790509298	13.1798199896
APO_2PG_backbone_cl200_2	2PG	backbone	1.12551593292	0.0214576873096	0.14648442685	13.0148692316
APO_2PG_2PG_cl200_3	2PG	2PG	1.30870396011	0.0328308520865	0.181192858818	13.8452136114
APO_2PG_backbone_cl200_3	2PG	backbone	1.1453656511	0.0294731308492	0.171677403432	14.9888730526
APO_2PG_2PG_cl200_4	2PG	2PG	0.71833306117	0.0246799765823	0.157098620561	21.8698858585
APO_2PG_backbone_cl200_4	2PG	backbone	1.04376263429	0.0109451607278	0.10461912219	10.0232676236
APO_PEP_PEP_cl000	PEP	PEP	1.06460651504	0.0301250426388	0.173565672409	16.3032697956
APO_PEP_backbone_cl000	PEP	backbone	1.0883465076	0.0200181464822	0.141485499194	13.0000416418
APO_PEP_PEP_cl000_2	PEP	PEP	0.87376434178	0.016734264062	0.129360983538	14.8050197694
APO_PEP_backbone_cl000_2	PEP	backbone	1.1004080397	0.0151873279691	0.123236877472	11.1991982089
APO_PEP_PEP_cl000_3	PEP	PEP	0.950770259642	0.0370844280879	0.19257317593	20.2544383333
APO_PEP_backbone_cl000_3	PEP	backbone	0.9961488296	0.0153752150988	0.123996835036	12.4476214147
APO_PEP_PEP_cl000_4	PEP	PEP	0.939807070067	0.0708714542122	0.266216930739	28.3267639942
APO_PEP_backbone_cl000_4	PEP	backbone	1.10141305884	0.027368005503	0.165432782431	15.0200491181
APO_PEP_PEP_cl100	PEP	PEP	0.759647546161	0.0398999937237	0.199749827844	26.2950665547
APO_PEP_backbone_cl100	PEP	backbone	1.02637057149	0.0132567366514	0.115137902758	11.2179660987
APO_PEP_PEP_cl100_2	PEP	PEP	0.772794970083	0.0341001634172	0.184662295603	23.8953801139
APO_PEP_backbone_cl100_2	PEP	backbone	1.09084345765	0.0156214553944	0.124985820773	11.4577229112
APO_PEP_PEP_cl100_3	PEP	PEP	0.640569192048	0.00803570782293	0.0896421096524	13.9941337743
APO_PEP_backbone_cl100_3	PEP	backbone	1.02307377045	0.0118344764936	0.108786380092	10.6332879636
APO_PEP_PEP_cl100_4	PEP	PEP	0.982668163418	0.0201916967471	0.142097490291	14.4603738659
APO_PEP_backbone_cl100_4	PEP	backbone	1.22828573695	0.0216250063005	0.147054433121	11.9723309241
APO_PEP_PEP_cl110	PEP	PEP	0.301357865756	0.00868455115549	0.0931909392349	30.9236790622
APO_PEP_backbone_cl110	PEP	backbone	1.07800694026	0.0265747158664	0.16301753239	15.1221227156
APO_PEP_PEP_cl110_2	PEP	PEP	1.16318615663	0.185277705034	0.430438967839	37.0051659733
APO_PEP_backbone_cl110_2	PEP	backbone	1.20860265696	0.01911779016	0.13826709717	11.4402443494
APO_PEP_PEP_cl110_3	PEP	PEP	1.00908780927	0.0349593788115	0.186974273127	18.529038941
APO_PEP_backbone_cl110_3	PEP	backbone	1.45737679502	0.0605811394375	0.246132361622	16.8887251713
APO_PEP_PEP_cl110_4	PEP	PEP	0.588678475564	0.0137640823629	0.117320426026	19.9294574027
APO_PEP_backbone_cl110_4	PEP	backbone	1.13361359975	0.0281179041464	0.16768394123	14.7919839059
