num_Cpus	1
temperature_correction	False
xtol_value	1.e-15
ftol_value	1.e-7
gtol_value	1.e-7
epsfcn_min_value	7
maxfev_value	1000
lower_bound	-6
upper_bound	9
num_func_var	6
filesWithFunctions	[/home/mrama/Desktop/MD/kinetics/ENO/ENO_param_inf/input/absRateFor.txt, /home/mrama/Desktop/MD/kinetics/ENO/ENO_param_inf/input/absRateRev.txt, /home/mrama/Desktop/MD/kinetics/ENO/ENO_param_inf/input/relRateFor_2pg.txt, /home/mrama/Desktop/MD/kinetics/ENO/ENO_param_inf/input/relRateRev_pep.txt, /home/mrama/Desktop/MD/kinetics/ENO/ENO_param_inf/input/haldaneRatio_1.txt, /home/mrama/Desktop/MD/kinetics/ENO/ENO_param_inf/input/customRatio_1.txt]
value_row	-1
function_row	-2
data_row_high	-2
