,patterns,count
0,"(-1, 2, 3, 3, 2, 3, 3, 2, 3, 3, 3, 2)",1
1,"(-2, 2, 1, 2, 2, 2, 2, 2, 3, 2, 3, 1)",1
2,"(-2, 1, 1, 2, 3, 3, 3, 3, 3, 2, 3, 3)",1
3,"(-2, 2, 2, 2, 2, 2, 3, 3, 3, 2, 3, 1)",1
4,"(-1, 2, 2, 2, 3, 3, 2, 2, 3, 2, 3, 1)",1
5,"(-2, 2, 1, 2, 2, 2, 3, 3, 3, 2, 3, 2)",1
6,"(-2, 1, 1, 2, 3, 3, 2, 2, 3, 2, 3, 2)",2
7,"(-2, 1, 1, 2, 1, 2, 2, 2, 3, 2, 3, 2)",2
8,"(-1, 2, 2, 2, 2, 3, 3, 2, 3, 3, 3, 1)",1
9,"(-1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1)",1
10,"(-2, 1, 3, 3, 3, 3, 3, 3, 2, 3, 3, 2)",1
11,"(-2, 1, 2, 2, 3, 2, 3, 3, 3, 2, 3, 2)",1
12,"(-2, 1, 2, 2, 2, 3, 3, 3, 2, 2, 3, 1)",1
13,"(-2, 2, 2, 2, 3, 3, 3, 3, 2, 2, 3, 1)",1
14,"(1, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 2)",1
15,"(1, 3, 1, 2, 3, 3, 3, 3, 3, 2, 3, 1)",6
16,"(-2, 1, 2, 2, 1, 2, 3, 2, 3, 3, 3, 2)",1
17,"(-2, 1, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2)",1
18,"(-2, 1, 3, 2, -1, 2, 3, 2, 3, 3, 3, 1)",1
19,"(-2, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",1
20,"(-2, 1, 3, 2, 2, 2, 3, 2, 3, 2, 3, 2)",1
21,"(-2, 1, 3, 2, 2, 3, 3, 3, 3, 3, 3, 2)",1
22,"(-2, 1, 1, 2, 1, 2, 3, 2, 3, 3, 3, 2)",2
23,"(-2, 1, 3, 2, 2, 3, 3, 2, 3, 3, 3, 2)",3
24,"(-2, 1, 2, 2, 2, 2, 3, 3, 3, 2, 3, 3)",1
25,"(1, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 1)",1
26,"(-2, 1, 1, 2, 2, 2, 2, 2, 3, 2, 3, 2)",2
27,"(-2, 1, 3, 3, 3, 3, 3, 2, 3, 3, 2, 2)",1
28,"(-2, 1, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2)",1
29,"(1, 3, 1, 2, 3, 3, 3, 2, 3, 2, 3, 1)",2
30,"(-1, 2, 3, 3, 2, 3, 3, 1, 3, 3, 3, 2)",1
31,"(-2, 1, 3, 3, 2, 3, 3, 2, 3, 3, 3, 2)",7
32,"(-2, 1, 1, 2, 3, 3, 2, 2, 3, 2, 3, 1)",1
33,"(-2, 1, 2, 2, 2, 2, 3, 3, 3, 2, 3, 2)",1
34,"(-1, 2, 1, 2, 2, 3, 3, 3, 3, 2, 3, 1)",1
35,"(-2, 1, 2, 2, 3, 2, 2, 3, 3, 2, 3, 2)",1
36,"(-2, 1, 3, 3, 1, 3, 3, 2, 3, 3, 3, 2)",3
37,"(1, 3, 1, 2, 2, 3, 3, 2, 3, 2, 3, 1)",3
38,"(-2, 1, -1, 2, 2, 2, 3, 3, 3, 2, 3, 2)",1
39,"(-2, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 2)",1
40,"(-1, 3, 1, 2, 3, 3, 3, 2, 3, 3, 3, 1)",1
41,"(-2, 1, 3, 2, 2, 2, 3, 2, 3, 3, 3, 2)",1
42,"(-2, 1, 3, 2, 2, 3, 3, 2, 3, 2, 3, 2)",1
43,"(-2, 2, 1, 2, 2, 3, 2, 2, 3, 2, 3, 1)",1
44,"(1, 3, 3, 3, 2, 3, 3, 2, 3, 3, 3, 1)",5
45,"(-2, 1, -1, 2, 3, 2, 2, 3, 3, 2, 3, 2)",1
46,"(-2, 1, -1, 2, 2, 2, 3, 3, 3, 2, 3, 1)",1
47,"(1, 3, 2, 2, 2, 3, 3, 3, 3, 2, 3, 1)",1
48,"(1, 3, 2, 2, 2, 3, 3, 2, 3, 2, 3, 1)",1
49,"(1, 3, 2, 2, 2, 3, 3, 1, 3, 3, 3, 1)",1
50,"(-2, 1, 2, 2, 2, 3, 3, 2, 3, 2, 3, 2)",1
51,"(-2, 1, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2)",1
52,"(-2, 1, 2, 2, 3, 3, 3, 3, 3, 2, 2, 2)",1
53,"(-2, 1, 3, 3, 2, 3, 3, 2, 3, 3, 2, 2)",1
54,"(-2, 1, -1, 2, 3, 3, 3, 3, 3, 2, 3, 1)",1
55,"(-2, 1, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2)",2
56,"(-1, 2, 2, 2, 3, 3, 3, 3, 3, 2, 3, 1)",2
57,"(1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1)",4
58,"(-2, 1, 1, 2, 3, 3, 3, 3, 3, 2, 3, 2)",2
59,"(-2, 1, 3, 3, 2, 3, 3, 1, 3, 3, 3, 2)",1
60,"(-2, 1, 2, 2, 3, 3, 3, 3, 3, 2, 3, 3)",1
61,"(1, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 1)",3
62,"(-2, 1, 1, 2, 2, 2, 2, 3, 3, 2, 3, 2)",1
63,"(1, 3, 2, 2, 1, 3, 3, 2, 3, 2, 3, 1)",1
64,"(-2, 1, 1, 2, 3, 2, 2, 3, 3, 2, 3, 1)",1
65,"(-2, 1, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2)",1
66,"(-1, 2, 3, 3, 1, 3, 3, 2, 3, 3, 3, 1)",1
67,"(-2, 1, 3, 2, 2, 2, 3, 3, 3, 2, 3, 2)",1
68,"(-2, 1, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2)",1
69,"(1, 3, 3, 3, 1, 3, 3, 2, 3, 3, 3, 1)",2
70,"(-2, 1, 1, 2, 3, 3, 2, 2, 3, 2, 3, 2)",1
71,"(-2, 1, 3, 2, 3, 3, 3, 3, 3, 3, 3, 2)",1
72,"(-2, 2, 1, 2, 3, 3, 2, 2, 3, 2, 3, 1)",1
73,"(-1, 2, 2, 2, 1, 3, 3, 2, 3, 3, 3, 2)",1
74,"(1, 3, 2, 2, 2, 3, 3, 2, 3, 3, 3, 1)",1
75,"(-2, 1, -1, 2, 3, 3, 3, 3, 3, 2, 3, 2)",1
76,"(-2, 1, 1, 2, 2, 2, 2, 2, 3, 2, 3, 2)",1
77,"(1, 3, 1, 2, 3, 3, 3, 3, 3, 2, 3, 1)",5
78,"(1, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 2)",2
79,"(-2, 1, 1, 2, 2, 2, 3, 3, 3, 2, 3, 2)",1
80,"(-1, 2, 3, 3, 2, 3, 3, 1, 3, 3, 3, 1)",1
