,0
"(-6, 1, -2, -1, 6, 9, 9, 6, 6, -1, 4, 1)",1
"(-5, 2, -6, 1, 2, 2, 9, 9, 3, 1, 9, -3)",1
"(-6, 1, -4, -1, -4, -1, 8, 4, 9, -1, 1, -1)",1
"(-6, 2, -6, -1, 1, 4, 1, -3, 9, 1, 9, 4)",1
"(-3, 5, 6, 5, 2, 7, 9, 4, 7, 5, 9, 4)",1
"(-6, 1, 2, 1, -5, 2, 3, -4, 7, 4, -1, -4)",1
"(-6, 1, -3, -1, 6, 9, 3, -1, -2, -1, 8, -3)",1
"(-6, 1, 9, 7, 7, 4, 4, 7, 5, 4, 1, -4)",1
"(-6, 1, -2, -1, 1, 4, 2, -2, 9, -1, 1, 3)",1
"(-6, 1, -1, 1, 6, 9, 1, -4, 4, 1, 9, 3)",1
"(-5, 2, 1, 2, 2, 6, 6, 2, -1, 2, 9, -1)",1
"(-4, 3, 5, 4, 5, 8, 5, 2, -1, 4, 8, -2)",1
"(-6, 1, 9, 7, 9, 4, 3, 8, 9, 7, -2, -4)",1
"(-6, 1, 9, 7, -4, 4, 4, -4, 7, 3, 9, 8)",1
"(-6, 1, -3, -1, 8, 9, -1, -2, 8, 2, -1, -4)",1
"(-6, 1, 8, 6, 7, 9, 3, 1, 4, 9, 6, -4)",1
"(-6, 1, 5, 3, -3, 4, 9, 3, 2, 3, 8, 1)",1
"(-2, 6, 2, 4, 6, 9, 9, 6, 6, 5, 9, 2)",1
"(-6, 1, 2, 1, -5, 2, 3, -4, 9, 3, -1, 1)",1
"(-6, 2, -4, -1, -3, 1, 1, -3, 5, 7, 9, -3)",1
"(-6, 1, 9, 6, -1, 6, 4, -3, 5, 9, 4, -4)",1
"(-6, 1, 1, 1, 3, 7, 1, -4, 9, 8, 3, -4)",1
"(-6, 1, 1, 1, -1, 4, 4, -1, 9, 1, 5, 7)",1
"(-3, 4, 1, 3, 5, 5, 4, 4, 3, 3, 9, -1)",1
"(-6, 2, 7, 5, 3, 9, 7, -1, 7, 4, 3, 1)",1
"(-5, 3, -4, 1, -3, 2, 3, -2, 9, 9, 9, -2)",1
