	all	dKd	Keq	Kd	Km1	Km2	Km3	kcat
0	0.128840412966	0.148448589705	0.176106896047	0.173714248502	0.165633216003	0.138997470961	0.154256446095	0.170651548621
1	0.141390118506	0.176106896047	0.168928953412	0.160847920913	0.156062625823	0.164143658322	0.171321600957	0.176106896047
2	0.135115265736	0.156062625823	0.176106896047	0.161751010778	0.165633216003	0.171321600957	0.163240568458	0.16869743327
3	0.109382610559	0.156062625823	0.173714248502	0.148568061141	0.144685855915	0.163240568458	0.165633216003	0.174351544514
4	0.136604823416	0.155159535959	0.173714248502	0.159825359613	0.166536305867	0.149787773053	0.176106896047	0.164552989059
5	0.124989110636	0.156062625823	0.176106896047	0.165633216003	0.159358363233	0.165633216003	0.150374240869	0.16869743327
6	0.13452879792	0.168025863548	0.171321600957	0.162337478594	0.159825359613	0.153669978279	0.171321600957	0.170651548621
7	0.126745231417	0.163240568458	0.173714248502	0.165633216003	0.163240568458	0.155159535959	0.159944831049	0.170651548621
8	0.126745231417	0.161751010778	0.176106896047	0.156062625823	0.157432712068	0.153669978279	0.160847920913	0.166666666667
9	0.1349957943	0.160847920913	0.173714248502	0.171321600957	0.168928953412	0.165633216003	0.157432712068	0.176106896047
10	0.129137878962	0.165633216003	0.171321600957	0.171321600957	0.168025863548	0.157432712068	0.173714248502	0.162349341122
11	0.145002477964	0.158455273368	0.176106896047	0.173714248502	0.164143658322	0.156965715688	0.165633216003	0.176106896047
12	0.120203815547	0.158455273368	0.171321600957	0.162337478594	0.173714248502	0.159358363233	0.168025863548	0.16869743327
13	0.147395125508	0.158455273368	0.176106896047	0.149351679569	0.156062625823	0.154256446095	0.165633216003	0.176106896047
14	0.133506236619	0.164143658322	0.173714248502	0.160847920913	0.168928953412	0.148884683189	0.166536305867	0.172534589272
15	0.132553087807	0.152647416978	0.176106896047	0.166536305867	0.166536305867	0.171321600957	0.171321600957	0.176106896047
16	0.133456177672	0.161751010778	0.173714248502	0.164730126139	0.166536305867	0.14707850346	0.168025863548	0.176106896047
17	0.116321610321	0.161751010778	0.173714248502	0.165633216003	0.149351679569	0.155159535959	0.166536305867	0.155112759679
18	0.117691696566	0.156062625823	0.176106896047	0.168928953412	0.168928953412	0.159358363233	0.173714248502	0.162349341122
19	0.131580585455	0.171321600957	0.176106896047	0.165633216003	0.173714248502	0.159358363233	0.168928953412	0.172534589272
20	0.127501229617	0.150374240869	0.176106896047	0.165633216003	0.156965715688	0.160847920913	0.163240568458	0.16869743327
21	0.123499552956	0.158455273368	0.176106896047	0.162337478594	0.163240568458	0.160847920913	0.161751010778	0.160047721707
22	0.143196298235	0.147812062941	0.173714248502	0.166536305867	0.168928953412	0.141390118506	0.168928953412	0.160047721707
23	0.124472055308	0.166536305867	0.176106896047	0.171321600957	0.168025863548	0.139731030442	0.157552183504	0.171876391881
24	0.119617347731	0.168928953412	0.176106896047	0.164143658322	0.159944831049	0.163240568458	0.168928953412	0.176106896047
25	0.121932316099	0.165633216003	0.171321600957	0.168928953412	0.161751010778	0.165633216003	0.168928953412	0.176106896047
26	0.128840412966	0.163240568458	0.168928953412	0.160847920913	0.162218007158	0.150204710485	0.171321600957	0.176106896047
27	0.125228053508	0.156062625823	0.176106896047	0.162337478594	0.165633216003	0.151744327114	0.171321600957	0.157639012467
28	0.11915035135	0.165633216003	0.173714248502	0.156062625823	0.164143658322	0.161751010778	0.168928953412	0.176106896047
29	0.140684179254	0.159358363233	0.171321600957	0.168928953412	0.156062625823	0.163240568458	0.157432712068	0.176106896047
30	0.133456177672	0.166536305867	0.176106896047	0.161751010778	0.173714248502	0.171321600957	0.168928953412	0.170651548621
31	0.116812875465	0.161751010778	0.173714248502	0.164143658322	0.158455273368	0.154136974659	0.168025863548	0.176106896047
32	0.136435293033	0.150374240869	0.171321600957	0.159944831049	0.165633216003	0.150374240869	0.161751010778	0.157639012467
33	0.124522114256	0.164730126139	0.173714248502	0.161751010778	0.155159535959	0.163240568458	0.168928953412	0.172534589272
34	0.123032556576	0.160847920913	0.176106896047	0.168928953412	0.168025863548	0.153669978279	0.171321600957	0.176106896047
