,0
"(-6, 1, 7, 5, 6, 9, 9, 7, 3, 3, 2, -4)",1
"(-6, 2, 8, 5, -1, 4, 4, -1, -1, 4, 6, -4)",1
"(-6, 1, 4, 2, 4, 3, 9, 9, -1, 3, 5, -4)",1
"(-6, 1, 8, 6, -5, 3, 9, 3, -4, 4, 9, -3)",1
"(-6, 2, 9, 7, 3, 9, 4, -3, 7, 4, 5, 3)",1
"(-5, 2, -6, 1, 2, 4, 2, -1, 8, 1, 4, -3)",1
"(-5, 3, 6, 4, 9, 9, 9, 9, 8, 5, -1, -3)",1
"(-4, 3, -3, 2, 2, 5, 3, -1, 6, 2, 6, -2)",1
"(-6, 1, -6, -1, 9, 9, 1, 1, 4, -1, 5, -4)",1
"(-4, 4, -5, 2, -2, 2, 6, 3, 9, 5, 8, -2)",1
"(-3, 5, 8, 6, 2, 7, 9, 4, 7, 8, 6, -1)",1
"(-6, 1, -6, -1, 2, 1, 1, 2, -2, -1, 9, -4)",1
"(-6, 1, 9, 7, 9, 3, 4, 9, -3, 4, 7, -4)",1
"(-6, 2, 9, 7, -5, 4, 9, 1, 6, 9, 5, -3)",1
"(-6, 1, 8, 3, -1, 9, 6, -4, -1, 9, 9, -2)",1
"(-6, 1, -5, -1, 3, -1, 5, 8, 9, 2, 1, -4)",1
"(-6, 2, -1, 1, 9, 9, 9, 9, 2, 1, 4, -4)",1
"(-6, 1, 9, 8, -4, 3, 9, 3, 6, 3, 1, -2)",1
"(-5, 2, 2, 2, 4, 3, 5, 7, 1, 3, 7, -3)",1
"(-4, 3, -2, 2, 6, 3, 4, 7, 9, 2, 1, -2)",1
"(-6, 2, 2, 1, -6, 2, 5, -3, 7, 5, 2, -4)",1
"(-6, 1, 9, 6, 9, 4, 5, 9, -3, 6, 8, -4)",1
"(-4, 4, -2, 3, 4, 3, 5, 6, 9, 5, 6, -1)",1
"(-6, 1, -2, -1, 2, 2, 9, 9, -6, -1, 9, -4)",1
"(-6, 1, 5, 3, -2, 5, 9, 3, 9, 4, -6, -4)",1
"(-5, 3, 9, 6, 9, 9, 9, 9, 9, 5, -3, -3)",1
"(-6, 1, 2, 1, 8, 5, 2, 5, 1, 2, 4, -4)",1
"(-6, 1, 9, 7, 2, 9, 9, 3, 6, 3, 2, 1)",1
