,0
"(1, 7, 9, 8, 5, 9, 9, 8, 9, 6, 6, 3)",1
"(1, 7, 9, 8, -6, 9, 5, 9, 6, 3, 9, 7)",1
"(1, 7, 9, 8, -6, 8, -3, 9, 9, 3, 6, 7)",1
"(1, 7, 9, 8, -6, 8, -2, 3, 9, 6, 9, 6)",1
"(1, 7, 4, 6, 9, 9, 5, 8, 9, 3, 5, 3)",1
"(1, 7, 7, 7, -1, 7, 3, 5, 5, 3, 9, 3)",1
"(1, 7, 9, 8, 8, 9, 5, 9, 9, 3, 8, 8)",1
"(1, 7, 9, 8, 4, 9, 3, 3, 9, 4, 4, 4)",1
"(1, 7, 9, 8, -3, 8, 1, 4, 9, 7, 7, 3)",1
"(1, 7, 8, 7, 4, 9, -6, 4, 4, 4, 9, 3)",1
"(1, 7, 6, 6, -1, 7, -6, 3, 6, 5, 9, 3)",1
"(1, 7, 9, 8, -5, 9, -6, 9, 3, 3, 9, 3)",1
"(1, 7, 9, 8, -3, 8, 7, 9, 6, 3, 9, 7)",1
"(1, 7, 8, 8, 1, 8, -6, 4, 9, 9, 9, 3)",1
"(1, 7, 4, 6, -1, 6, -5, 4, 9, 7, 9, 3)",1
"(1, 7, 1, 6, -6, 6, 5, 7, 9, 3, 9, 3)",1
"(1, 7, 9, 8, -6, 8, -6, 9, 8, 9, 9, 3)",1
"(1, 7, 9, 8, -6, 9, 9, 9, 6, 4, 9, 7)",1
"(1, 7, 8, 8, 5, 9, 9, 7, 6, 5, 9, 3)",1
"(1, 7, 9, 8, -6, 9, 3, 3, 9, 9, 9, 4)",1
"(1, 7, 5, 6, 3, 6, -6, 9, 7, 3, 8, 3)",1
"(1, 7, 2, 6, 6, 6, -6, 7, 8, 3, 9, 3)",1
"(1, 7, 9, 8, -4, 9, -6, 5, 4, 3, 8, 4)",1
"(1, 7, 4, 6, -6, 6, -5, 9, 6, 3, 9, 3)",1
"(1, 7, -1, 6, 3, 6, 3, 5, 9, 3, 9, 3)",1
"(1, 7, 3, 6, 4, 6, 3, 6, 9, 5, 9, 3)",1
"(1, 7, -1, 6, -6, 6, -6, 4, 9, 3, 9, 3)",1
"(1, 7, 9, 8, 9, 9, -6, 9, 8, 5, 5, 3)",1
"(1, 7, 4, 6, 3, 6, 2, 3, 9, 3, 9, 7)",1
"(1, 7, 4, 6, 8, 6, 3, 9, 9, 7, 9, 3)",1
