,0
"(-6, 1, 7, 5, 3, 7, 4, -2, 8, 9, 3, -4)",1
"(-6, 2, -4, -1, 9, 4, 4, 9, 9, 1, -2, -4)",1
"(-6, 2, 3, 2, 9, 8, 9, 9, -1, 3, 6, -4)",1
"(-6, 1, 9, 7, 8, 9, 3, 2, 9, 4, -6, -4)",1
"(-6, 1, 5, 3, -5, 3, 5, -3, -5, 4, 9, -4)",1
"(-6, 1, 6, 4, -1, 4, 7, 3, 4, 4, 2, -4)",1
"(-5, 3, -5, 1, -2, 2, 5, 2, 9, 2, 4, -2)",1
"(-4, 4, 4, 4, 1, 6, 4, -1, 4, 4, 9, 3)",1
"(-6, 1, -3, -1, -1, 3, -1, -4, 7, 9, 8, -3)",1
"(-6, 1, 4, 2, 7, 3, 4, 9, 7, 5, -2, -4)",1
"(-5, 3, -2, 1, -2, 2, 2, -2, 2, 2, 9, 1)",1
"(-6, 1, 5, 3, 1, 6, 3, -3, -5, 4, 9, -4)",1
"(-6, 1, 6, 4, 2, 4, 4, 2, 7, 4, -2, -4)",1
"(-6, 1, 9, 7, -2, 6, 4, -3, 8, 3, 4, 4)",1
"(-6, 1, 4, 3, -3, 4, 7, -1, -4, 3, 8, -4)",1
"(-5, 2, 7, 5, -2, 5, 5, -3, 4, 5, 4, -2)",1
"(-6, 1, 5, 3, 1, 7, 8, 2, 5, 3, 3, -1)",1
"(-5, 3, -2, 1, 2, 5, 2, -2, -1, 2, 9, -2)",1
"(-6, 2, 8, 4, 3, 6, 7, 4, 9, 8, -2, -4)",1
"(-5, 2, 9, 3, 9, 9, 9, 9, 4, 9, 4, -3)",1
"(-6, 1, -4, -1, 6, 5, -1, 1, 5, 4, 6, -4)",1
"(-6, 1, -4, -1, -4, -1, 2, -3, 5, -1, 5, -1)",1
"(-6, 2, 4, 3, -3, 4, 4, -3, 2, 3, 5, -3)",1
"(-6, 1, 1, 1, -4, 1, 4, -1, -1, 2, 5, -4)",1
"(-6, 1, -5, -1, -1, -1, 4, 4, 9, 5, 3, -4)",1
"(-6, 1, 3, 2, -4, 2, 6, -1, 4, 2, 9, 5)",1
"(-6, 1, 9, 8, -3, 3, 3, -3, 4, 9, 7, -4)",1
