	v_eno1	v_eno2	v_eno3
0	-1.08420217249e-19	-8.67361737988e-19	-8.67361737988e-19
1	1.35525271561e-20	0.0	1.79570984818e-19
2	1.35525271561e-19	2.16840434497e-19	8.13151629364e-19
3	0.0	1.08420217249e-18	8.67361737988e-19
4	0.0	8.67361737988e-19	0.0
5	0.0	0.0	-3.38813178902e-20
6	0.0	8.67361737988e-19	0.0
7	0.0	-4.33680868994e-19	-2.71050543121e-20
8	0.0	0.0	0.0
9	0.0	0.0	0.0
10	-6.50521303491e-19	-8.67361737988e-19	-4.33680868994e-19
11	0.0	0.0	-1.08420217249e-19
12	-2.71050543121e-20	0.0	5.42101086243e-20
13	0.0	4.33680868994e-19	1.89735380185e-19
14	-1.35525271561e-20	0.0	-7.04731412116e-19
15	2.16840434497e-19	8.67361737988e-19	0.0
16	-4.33680868994e-19	-8.67361737988e-19	-8.67361737988e-19
17	0.0	0.0	0.0
18	5.42101086243e-20	4.33680868994e-19	1.49077798717e-19
19	1.30104260698e-18	2.60208521397e-18	2.60208521397e-18
20	0.0	1.73472347598e-18	0.0
21	8.13151629364e-20	0.0	5.48877349821e-19
22	8.80914265144e-20	8.67361737988e-19	4.33680868994e-19
23	-5.42101086243e-20	0.0	0.0
24	0.0	0.0	0.0
25	0.0	8.67361737988e-19	0.0
26	0.0	0.0	-9.48676900925e-20
27	1.62630325873e-19	8.67361737988e-19	4.33680868994e-19
28	-3.25260651746e-19	0.0	-2.77826806699e-19
29	0.0	-4.33680868994e-19	0.0
30	0.0	0.0	0.0
31	-2.16840434497e-19	-4.33680868994e-19	-4.33680868994e-19
32	2.71050543121e-19	0.0	3.72694496792e-20
33	0.0	8.67361737988e-19	1.49077798717e-19
34	0.0	1.08420217249e-19	3.25260651746e-19
35	0.0	8.67361737988e-19	3.21872519957e-19
36	0.0	4.33680868994e-19	1.49077798717e-19
37	0.0	0.0	0.0
38	6.50521303491e-19	0.0	0.0
39	0.0	0.0	6.77626357803e-20
40	-1.08420217249e-19	0.0	2.71050543121e-19
41	0.0	0.0	0.0
42	0.0	8.67361737988e-19	0.0
43	0.0	0.0	0.0
44	0.0	0.0	0.0
45	0.0	0.0	-6.77626357803e-21
46	-1.08420217249e-19	0.0	0.0
47	0.0	-8.67361737988e-19	0.0
48	0.0	8.67361737988e-19	0.0
49	8.13151629364e-20	8.67361737988e-19	2.16840434497e-19
50	1.42301535139e-19	0.0	0.0
51	0.0	0.0	0.0
52	0.0	0.0	-3.04931861012e-20
53	0.0	0.0	0.0
54	4.06575814682e-20	8.67361737988e-19	1.79570984818e-19
55	6.93889390391e-18	1.73472347598e-18	2.16840434497e-18
56	-5.42101086243e-20	-3.25260651746e-19	0.0
57	6.93889390391e-18	1.73472347598e-18	1.26716128909e-18
58	0.0	0.0	0.0
59	6.77626357803e-21	8.67361737988e-19	8.67361737988e-19
60	0.0	0.0	-8.80914265144e-20
61	8.67361737988e-19	8.67361737988e-19	7.99599102208e-19
62	8.67361737988e-19	8.67361737988e-19	3.1170812459e-18
63	0.0	4.33680868994e-19	0.0
64	0.0	0.0	0.0
65	6.50521303491e-19	8.67361737988e-19	9.96110745971e-19
66	1.30104260698e-18	1.30104260698e-17	2.77555756156e-17
67	8.67361737988e-19	0.0	0.0
68	-5.42101086243e-20	-8.67361737988e-19	-1.35525271561e-19
69	1.08420217249e-19	0.0	0.0
70	4.33680868994e-19	8.67361737988e-19	4.33680868994e-19
71	8.50421079043e-19	6.50521303491e-19	2.84603070277e-19
72	2.71050543121e-19	8.67361737988e-19	7.04731412116e-19
73	0.0	0.0	0.0
74	4.06575814682e-20	0.0	4.60785923306e-19
75	2.38524477947e-18	8.67361737988e-19	8.67361737988e-19
76	0.0	0.0	0.0
77	2.57498015965e-19	4.33680868994e-19	4.33680868994e-19
78	3.25260651746e-19	6.50521303491e-19	2.16840434497e-19
79	0.0	-8.67361737988e-19	0.0
80	0.0	0.0	0.0
81	0.0	6.50521303491e-19	6.77626357803e-20
82	1.35525271561e-20	1.51788304148e-18	6.50521303491e-19
83	0.0	0.0	0.0
84	0.0	0.0	0.0
85	0.0	0.0	0.0
86	0.0	0.0	9.48676900925e-20
87	-2.71050543121e-20	0.0	0.0
88	0.0	6.50521303491e-19	5.42101086243e-20
89	-1.28749007983e-19	0.0	-5.96311194867e-19
90	0.0	0.0	0.0
91	2.76471553984e-18	2.60208521397e-18	8.67361737988e-19
92	0.0	0.0	0.0
93	4.33680868994e-19	0.0	0.0
94	1.35525271561e-20	0.0	0.0
95	1.35525271561e-20	8.67361737988e-19	4.33680868994e-19
96	0.0	0.0	0.0
97	0.0	0.0	0.0
98	8.67361737988e-19	8.67361737988e-19	4.33680868994e-19
99	3.25260651746e-19	1.95156391047e-18	5.42101086243e-19
