	all	dKd	Keq	Km	kcat
0	0.183518818672	0.314647645776	0.212761849639	0.246290099453	0.359891857926
1	0.152973771885	0.338183142681	0.235429656419	0.256432814905	0.350321267746
2	0.153123922673	0.322232159048	0.205873560419	0.254130834848	0.354293421561
3	0.157208793183	0.307485295235	0.208936820248	0.232525691838	0.36549029429
4	0.195816238985	0.333588327026	0.22155048273	0.272171467622	0.377046961377
5	0.183164549777	0.302242276337	0.218427294585	0.251985462692	0.366272251379
6	0.15919487009	0.309049209412	0.230170487867	0.224899974704	0.359891857926
7	0.205073764132	0.336356361021	0.190776557314	0.223896353995	0.373856764651
8	0.193295433423	0.322813617027	0.243881859815	0.22883287752	0.361095977745
9	0.183112688125	0.319983214658	0.212129855092	0.218457212878	0.367476371198
10	0.162910651011	0.305010310333	0.227602952981	0.26806582328	0.350321267746
11	0.141393187646	0.333166164295	0.140660142875	0.259092090221	0.366272251379
12	0.21923648262	0.300482239942	0.229072627628	0.242225658972	0.353511464473
13	0.177297720467	0.290911649763	0.225204046049	0.23410143782	0.356701661199
14	0.142063952249	0.296062381994	0.223965539316	0.236087514727	0.349539310658
15	0.193302078784	0.304917760349	0.230339115821	0.237790138565	0.352148049406
16	0.149739872197	0.321609497208	0.201700907495	0.267753786415	0.366272251379
17	0.151562540284	0.285287671995	0.213174679663	0.264882180184	0.353511464473
18	0.182424059868	0.301820113606	0.228163733643	0.267777151077	0.36506813156
19	0.165560963346	0.326626475594	0.21089581698	0.282560841861	0.336197065773
20	0.168459153143	0.287181198919	0.225322137435	0.215942713659	0.361718639585
21	0.1864995226	0.343940874293	0.217156166184	0.269110647851	0.356279498468
22	0.220443289785	0.302246653228	0.184958634068	0.257424603809	0.36549029429
23	0.174709390794	0.288544613986	0.236168232906	0.268940067035	0.366272251379
24	0.154018596456	0.315785020331	0.171941356798	0.244170532018	0.368680491017
25	0.168562725378	0.333588327026	0.208893531377	0.223250327492	0.34713107102
26	0.221746316422	0.302509520711	0.192752979156	0.246363661666	0.34775373286
27	0.185295402781	0.29372088762	0.196725132971	0.275717081816	0.361877934833
28	0.171603376582	0.313243026848	0.227063186059	0.246968484307	0.36506813156
29	0.194243594438	0.302931683442	0.241566170161	0.252700674517	0.333788826135
30	0.158300196306	0.326785770842	0.180552485717	0.257138371664	0.364286174471
