frame	deltaG
1	-41.9586
2	-37.5937
3	-51.9283
4	-50.3068
5	-41.8822
6	-39.9068
7	-53.5606
8	-38.5978
9	-50.9348
10	-49.7827
11	-47.2152
12	-57.206
13	-49.5135
14	-48.0007
15	-51.974
16	-59.871
17	-56.0999
18	-48.5387
19	-43.2399
20	-50.4501
21	-43.7766
22	-56.7842
23	-47.2219
24	-43.7056
25	-49.8371
26	-48.5541
27	-42.312
28	-54.3933
29	-39.9607
30	-56.2729
31	-46.6399
32	-49.11
33	-46.3267
34	-61.3628
35	-50.7105
36	-56.0101
37	-52.9561
38	-46.308
39	-53.3329
40	-54.9494
41	-57.9322
42	-49.1031
43	-41.0985
44	-47.1807
45	-54.1434
46	-44.6848
47	-52.4875
48	-50.8265
49	-52.9777
50	-52.0195
51	-52.611
52	-56.5985
53	-43.9277
54	-44.5527
55	-55.5553
56	-50.8125
57	-64.0702
58	-49.911
59	-58.3229
60	-47.3241
61	-37.9941
62	-44.1221
63	-55.981
64	-56.2134
65	-53.6494
66	-53.8572
67	-58.3183
68	-58.2592
69	-56.3312
70	-39.3091
71	-50.1322985714
73	6.13509544028
